1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
19850630,19860804,19870721,19880612,19890419,19900511,19910527,19920608,19930602,19940503,19950815,19960430,19970415,19980323,19990524,20000607,20010328,20020223,20030123,20040225,20050323,20060320,20070310,20080314,20090217,20100302,20110318,20120426,20130317,20140516,20150415
19850627,19860816,19870717,19880628,19890430,19900513,19910604,19920508,19930606,19940528,19950524,19960509,19970425,19980325,19990521,20000616,20010409,20020218,20030210,20040225,20050315,20060221,20070311,20080305,20090217,20100302,20110318,20120426,20130317,20140516,20150415
19850710,19860808,19870729,19880620,19890520,19900518,19910604,19920403,19930622,19940530,19950526,19960514,19970324,19980327,19990522,20000621,20010502,20020217,20030206,20040310,20050308,20060223,20070312,20080313,20090309,20100331,20110318,20120426,20130317,20140516,20150428
19850704,19860806,19870924,19880701,19890605,19900518,19910606,19920702,19930613,19940601,19950601,19960520,19970328,19980406,19990524,20000616,20010415,20020225,20030204,20040223,20050405,20060223,20070313,20080228,20090425,20100302,20110419,20120418,20130412,20140729,20150428
19850707,19860822,19870727,19880714,19890531,19900529,19910607,19920405,19930617,19940606,19950603,19960520,19970330,19980405,19990529,20000630,20010515,20020221,20030127,20040307,20050309,20060506,20070326,20080403,20090303,20100311,20110328,20120426,20130403,20140610,20150502
19850710,19860821,19870827,19880628,19890526,19900530,19910611,19920609,19930630,19940609,19950614,19960518,19970417,19980401,19990623,20000626,20010426,20020221,20030126,20040225,20050322,20060224,20070322,20080401,20090319,20100317,20110410,20120418,20130429,20140610,20150521
19850716,19860902,19870915,19880815,19890611,19900602,19910612,19920426,19930708,19940629,19950605,19960518,19970422,19980407,19990619,20000710,20010426,20020225,20030204,20040401,20050312,20060223,20070319,20080314,20090309,20100304,20110325,20120426,20130403,20140610,20150502
19850730,19860905,19870908,19880628,19890626,19900702,19910612,19920428,19930623,19940622,19950603,19960520,19970430,19980410,19990616,20000710,20010426,20020301,20030207,20040309,20050325,20060301,20070405,20080403,20090313,20100503,20110401,20120516,20130403,20140714,20150629
19850722,19860908,19870909,19880703,19890608,19900620,19910612,19920506,19930823,19940627,19950625,19960610,19970505,19980407,19990706,20000810,20010426,20020227,20030210,20040305,20050318,20060306,20070330,20080315,20090319,20100312,20110401,20120507,20130407,20140610,20150521
19850902,19860917,19871002,19880808,19890605,19900618,19910614,19920526,19930628,19940628,19950623,19960602,19970502,19980410,19990701,20000730,20010501,20020308,20030210,20040308,20050408,20060228,20070427,20080331,20090420,20100324,20110519,20120507,20130429,20140610,20150521
19850817,19861010,19870929,19880707,19890630,19900616,19910627,19920517,19930731,19940715,19950725,19960630,19970501,19980413,19990803,20000806,20010602,20020429,20030130,20040309,20050324,20060226,20070331,20080405,20090327,20100317,20110419,20120507,20130429,20140610,20150521
19850725,19861005,19871008,19880707,19890618,19900619,19910619,19920518,19930715,19940724,19950623,19960630,19970507,19980411,19990628,20000817,20010517,20020311,20030209,20040309,20050326,20060308,20070330,20080502,20090331,20100326,20110410,20120516,20130429,20140625,20150629
19850802,19861013,19871010,19880706,19890621,19900622,19910625,19920611,19930707,19940707,19950623,19960625,19970516,19980411,19990705,20000804,20010505,20020312,20030203,20040319,20050326,20060323,20070331,20080402,20090331,20100326,20110519,20120516,20130516,20140714,20150602
19850803,19861003,19871017,19880714,19890630,19900621,19910709,19920606,19930706,19940712,19950711,19960614,19970511,19980510,19990630,20000830,20010507,20020331,20030312,20040306,20050330,20060306,20070408,20080327,20090409,20100326,20110425,20120516,20130429,20140625,20150521
19850805,19861007,19871019,19880711,19890629,19900708,19910718,19920608,19930813,19940708,19950711,19960623,19970513,19980416,19990724,20000805,20010506,20020324,20030207,20040307,20050406,20060314,20070508,20080402,20090430,20100331,20110425,20120516,20130516,20140625,20150521
19850809,19861015,19871026,19880727,19890720,19900625,19910718,19920608,19930812,19940711,19950705,19960709,19970515,19980417,19990705,20000809,20010508,20020322,20030217,20040311,20050414,20060325,20070415,20080422,20090409,20100331,20110425,20120529,20130516,20140625,20150602
19850808,19861025,19871101,19880715,19890710,19900622,19910706,19920801,19930815,19940716,19950722,19960708,19970527,19980421,19990712,20000821,20010510,20020326,20030206,20040308,20050418,20060322,20070418,20080424,20090415,20100407,20110425,20120529,20130516,20140714,20150615
19850819,19861103,19871106,19880718,19890707,19900629,19910708,19920615,19930801,19940916,19950707,19960720,19970604,19980426,19990709,20000828,20010608,20020405,20030213,20040308,20050604,20060323,20070415,20080516,20090427,20100331,20110425,20120529,20130528,20140729,20150629
19850905,19861126,19871210,19880805,19890705,19900708,19910710,19920723,19930807,19940718,19950712,19960707,19970610,19980424,19990712,20000831,20010517,20020402,20030207,20040319,20050614,20060323,20070421,20080423,20090515,20100331,20110609,20120716,20130516,20140714,20150615
