,region,district,year,month,mean_mon_rainfall_mm
389,Central,Effutu,1981,1,11.684949
390,Western,Prestea / Huni Valley,1981,1,14.038198
391,Western,Tarkwa Nsuaem,1981,1,14.206709
392,Western,Sefwi Wiawso,1981,1,5.4877815
393,Western,Sefwi Akontombra,1981,1,6.282152
394,Greater Accra,Ga West,1981,1,11.18688
395,Greater Accra,Weija (Ga South),1981,1,11.95784
396,Greater Accra,Adenta,1981,1,8.165983
397,Greater Accra,Tema,1981,1,7.531824
398,Greater Accra,Ashaiman,1981,1,8.525804
399,Greater Accra,Ledzokuku / Krowor,1981,1,7.717314
400,Greater Accra,A M A,1981,1,8.404619
401,Volta,Biakoye,1981,1,16.239672
402,Eastern,Birim South,1981,1,8.689474
403,Eastern,Birim Central Municipal,1981,1,9.480579
404,Eastern,Kwahu East,1981,1,4.1850696
405,Eastern,Kwahu South,1981,1,6.760659
406,Ashanti,Adansi South,1981,1,6.0022736
407,Ashanti,Bosome Freho,1981,1,5.228735
408,Ashanti,Sekyere South,1981,1,4.0673056
409,Ashanti,Sekyere Central,1981,1,3.5466943
410,Ashanti,Mampong Municipal,1981,1,3.3520048
411,Ashanti,Offinso North,1981,1,4.8963394
412,Ashanti,Offinso Municipal,1981,1,4.807888
413,Ashanti,Ejisu Juaben,1981,1,3.6033003
414,Ashanti,Sekyere East,1981,1,3.9706142
415,Central,Agona East,1981,1,13.191139
416,Central,Agona West,1981,1,13.062816
417,Eastern,Lower Manya Krobo,1981,1,13.808671
418,Eastern,Upper Manya Krobo,1981,1,13.435399
419,Western,Shama,1981,1,16.103872
420,Western,Sekondi-Takoradi,1981,1,14.430191
421,Western,Mpohor-Wassa East,1981,1,16.242016
422,Western,Nzema East,1981,1,15.065919
423,Western,Ellembelle,1981,1,14.86641
424,Ashanti,Bekwai Municipal,1981,1,3.8450992
425,Ashanti,Kwabre East,1981,1,3.5070155
426,Ashanti,Afigya Kwabre,1981,1,4.598946
427,Ashanti,Atwima Kwanwoma,1981,1,4.076269
428,Ashanti,Bosumtwi,1981,1,4.1074815
429,Eastern,Birim North,1981,1,5.119728
430,Eastern,Akyemansa,1981,1,6.35953
431,Brong Ahafo,Sene,1981,1,7.779355
432,Ashanti,Sekyere Afram Plains,1981,1,5.4877567
433,Eastern,Kwahu North,1981,1,9.434459
434,Central,Gomoa West,1981,1,12.11019
435,Central,Gomoa East,1981,1,12.886353
436,Volta,Akatsi,1981,1,18.859081
437,Volta,Hohoe,1981,1,22.929008
438,Volta,Kadjebi,1981,1,16.703634
439,Northern,Zabzugu-Tatale,1981,1,3.396509
440,Upper East,Garu Tempane,1981,1,0.8419774
441,Northern,Bunkpurugu Yonyo,1981,1,0.7311623
442,Northern,Nanumba South,1981,1,3.470075
443,Volta,Ho,1981,1,24.665712
444,Volta,Adaklu Anyigbe,1981,1,22.990845
445,Northern,Chereponi,1981,1,0.8626844
446,Northern,Saboba,1981,1,1.9701761
447,Volta,Jasikan,1981,1,17.718243
448,Volta,Ketu North,1981,1,16.239784
449,Volta,Ketu South,1981,1,12.146086
450,Volta,Nkwanta North,1981,1,3.170575
451,Volta,Nkwanta South,1981,1,8.3384695
734,Ashanti,Ahafo Ano North,1981,2,27.353241
735,Ashanti,Ahafo Ano South,1981,2,35.14831
736,Ashanti,Amansie West,1981,2,49.266968
737,Ashanti,Asante Akim North,1981,2,46.730343
