,region,district,year,month,mean_mon_rainfall_mm
21075,Ashanti,Ahafo Ano South,1984,11,53.918537
21076,Ashanti,Amansie West,1984,11,58.212807
21077,Ashanti,Asante Akim North,1984,11,64.10156
21078,Ashanti,Asante Akim South,1984,11,74.27421
21079,Ashanti,Ejura Sekye Dumasi,1984,11,31.779963
21080,Brong Ahafo,Asutifi,1984,11,43.318096
21081,Brong Ahafo,Berekum,1984,11,35.6964
21082,Brong Ahafo,Techiman,1984,11,56.574947
21083,Central,Ajumanku / Enyan / Essiam,1984,11,93.77043
21084,Central,Abura / Asebu / Kwamankese,1984,11,83.22925
21085,Central,Asikuma / Odoben / Brakwa,1984,11,85.160164
21086,Central,Cape Coast,1984,11,84.48722
21087,Central,Komenda / Edina / Eguafo / Abirem,1984,11,86.95078
21088,Central,Mfantsiman,1984,11,77.70284
21089,Central,Twifo / Heman / Lower Denkyira,1984,11,96.58644
21090,Eastern,Akwapim North,1984,11,35.966335
21091,Eastern,Akwapim South,1984,11,47.31054
21092,Eastern,Asuogyaman,1984,11,40.532673
21093,Eastern,Fanteakwa,1984,11,45.179962
21094,Eastern,Kwaebibirem,1984,11,87.31866
21095,Eastern,New Juaben Municipal,1984,11,37.35296
21096,Eastern,Suhum / Kraboa Coaltar,1984,11,48.652493
21097,Eastern,West Akim,1984,11,66.71377
21098,Eastern,Yilo Krobo,1984,11,38.207626
21099,Greater Accra,Dangbe East,1984,11,26.976221
21100,Greater Accra,Dangbe West,1984,11,35.026333
21101,Upper West,Lawra,1984,11,9.620142
21102,Upper West,Nadowli,1984,11,9.384806
21103,Volta,Keta Municipal,1984,11,25.639965
21104,Volta,North Tongu,1984,11,39.395504
21105,Western,Ahanta West,1984,11,71.03157
21106,Western,Aowin / Suaman,1984,11,76.54718
21107,Western,Sefwi Bibiani-Ahwiaso Bekwai,1984,11,57.931908
21108,Western,Jomoro,1984,11,95.23099
21109,Ashanti,K M A,1984,11,52.804672
21110,Upper East,Bawku West,1984,11,5.4308033
21111,Upper East,Bongo,1984,11,1.953051
21112,Upper East,Builsa,1984,11,3.6004684
21113,Northern,West Mamprusi,1984,11,7.32467
21114,Northern,Savelugu Nanton,1984,11,7.7093844
21115,Northern,Tolon Kumbugu,1984,11,6.7942195
21116,Northern,Yendi,1984,11,7.5550485
21117,Northern,Tamale,1984,11,10.60739
21118,Upper West,Wa West,1984,11,10.397413
21119,Upper West,Wa Municipal,1984,11,9.274418
21120,Upper West,Wa East,1984,11,8.741751
21121,Upper East,Bawku Municipal,1984,11,3.4917474
21122,Northern,East Mamprusi,1984,11,10.45446
21123,Northern,Central Gonja,1984,11,12.838456
21124,Northern,West Gonja,1984,11,10.023428
21125,Northern,Bole,1984,11,24.043234
21126,Northern,Sawla / Tuna / Kalba,1984,11,16.907259
21127,Northern,Nanumba North,1984,11,13.159145
21128,Brong Ahafo,Kintampo,1984,11,25.455585
21129,Brong Ahafo,Kintampo South,1984,11,44.373154
21130,Brong Ahafo,Wenchi,1984,11,42.571465
21131,Brong Ahafo,Tain,1984,11,34.75015
21132,Brong Ahafo,Jaman South,1984,11,36.76575
21133,Brong Ahafo,Jaman North,1984,11,33.913204
21134,Brong Ahafo,Asunafo North,1984,11,42.015766
21135,Brong Ahafo,Asunafo South,1984,11,43.548817
21136,Brong Ahafo,Tano North,1984,11,41.477646
21137,Brong Ahafo,Tano South,1984,11,47.972233
21138,Ashanti,Atwima Mponua,1984,11,55.45807
21139,Ashanti,Atwima Nwabiagya,1984,11,57.4319
21140,Ashanti,Amansie Central,1984,11,59.28652
21141,Ashanti,Obuasi Municipal,1984,11,60.367702
21142,Ashanti,Adansi North,1984,11,61.01732
21143,Western,Bia,1984,11,43.283875
21144,Western,Juabeso,1984,11,42.074913
21145,Western,Wassa Amenfi East,1984,11,79.20589
21146,Western,Wassa Amenfi West,1984,11,80.02636
21147,Central,Assin North,1984,11,99.27305
21148,Central,Assin South,1984,11,99.45656
21149,Volta,Krachi East,1984,11,34.073353
21150,Volta,Krachi West,1984,11,15.720777
21151,Greater Accra,Ga East,1984,11,35.299767
21152,Volta,South Dayi,1984,11,49.607162
21153,Volta,Norh Dayi (Kpando),1984,11,58.75006
21154,Northern,Karaga,1984,11,6.730532
21155,Northern,Gushiegu,1984,11,7.6735
21156,Brong Ahafo,Pru,1984,11,22.653791
21157,Brong Ahafo,Atebubu Amantin,1984,11,32.2745
21158,Eastern,Kwahu West,1984,11,76.18157
21159,Eastern,Atiwa,1984,11,77.549675
21160,Eastern,East Akim,1984,11,65.145096
21161,Upper West,Sissala West,1984,11,6.1819654
21162,Upper West,Sissala East,1984,11,5.570584
21163,Upper East,Bolgatanga,1984,11,7.028636
21164,Upper East,Talensi Nabdam,1984,11,7.189792
21165,Volta,South Tongu,1984,11,29.989294
21166,Upper East,Kasena Nankana East,1984,11,4.3140626
21167,Upper East,Kasena Nankana West,1984,11,2.8320048
21168,Upper West,Jirapa,1984,11,8.626629
21169,Upper West,Lambussie Karni,1984,11,5.8702292
21170,Northern,Kpandai,1984,11,15.344204
21171,Northern,East Gonja,1984,11,12.921255
21172,Brong Ahafo,Dormaa East,1984,11,49.665577
21173,Brong Ahafo,Dormaa Municipal,1984,11,50.538948
21174,Brong Ahafo,Nkoranza South,1984,11,39.351906
21175,Brong Ahafo,Nkoranza North,1984,11,35.629467
21176,Brong Ahafo,Sunyani Municipal,1984,11,33.35388
21177,Brong Ahafo,Sunyani West,1984,11,32.233437
21178,Central,Upper Denkyira West,1984,11,59.331875
21179,Central,Upper Denkyira East,1984,11,76.469376
21180,Central,Awutu Senya,1984,11,47.583755
21181,Central,Effutu,1984,11,37.76041
21182,Western,Prestea / Huni Valley,1984,11,102.4128
21183,Western,Tarkwa Nsuaem,1984,11,104.29851
21184,Western,Sefwi Wiawso,1984,11,47.09432
21185,Western,Sefwi Akontombra,1984,11,52.502277
21186,Greater Accra,Ga West,1984,11,40.17839
21187,Greater Accra,Weija (Ga South),1984,11,42.85578
21188,Greater Accra,Adenta,1984,11,30.581926
21189,Greater Accra,Tema,1984,11,24.979958
21190,Greater Accra,Ashaiman,1984,11,30.367765
21191,Greater Accra,Ledzokuku / Krowor,1984,11,22.312866
21192,Greater Accra,A M A,1984,11,28.679497
21193,Volta,Biakoye,1984,11,71.96835
21194,Eastern,Birim South,1984,11,87.20436
21195,Eastern,Birim Central Municipal,1984,11,79.392334
21196,Eastern,Kwahu East,1984,11,58.96133
21197,Eastern,Kwahu South,1984,11,54.502934
21198,Ashanti,Adansi South,1984,11,79.87046
21199,Ashanti,Bosome Freho,1984,11,74.27261
21200,Ashanti,Sekyere South,1984,11,53.374622
21201,Ashanti,Sekyere Central,1984,11,44.245636
21202,Ashanti,Mampong Municipal,1984,11,38.080284
21203,Ashanti,Offinso North,1984,11,51.41996
21204,Ashanti,Offinso Municipal,1984,11,52.34287
21205,Ashanti,Ejisu Juaben,1984,11,57.853275
21206,Ashanti,Sekyere East,1984,11,64.02408
21207,Central,Agona East,1984,11,57.158302
21208,Central,Agona West,1984,11,68.55868
21209,Eastern,Lower Manya Krobo,1984,11,42.630386
21210,Eastern,Upper Manya Krobo,1984,11,33.928833
21211,Western,Shama,1984,11,87.25839
21212,Western,Sekondi-Takoradi,1984,11,74.02298
21213,Western,Mpohor-Wassa East,1984,11,99.00561
21214,Western,Nzema East,1984,11,97.53393
21215,Western,Ellembelle,1984,11,99.83106
21216,Ashanti,Bekwai Municipal,1984,11,65.32308
21217,Ashanti,Kwabre East,1984,11,50.956474
21218,Ashanti,Afigya Kwabre,1984,11,52.322388
21219,Ashanti,Atwima Kwanwoma,1984,11,60.33826
21220,Ashanti,Bosumtwi,1984,11,63.971783
21221,Eastern,Birim North,1984,11,82.23393
21222,Eastern,Akyemansa,1984,11,86.6456
21223,Brong Ahafo,Sene,1984,11,38.076935
21224,Ashanti,Sekyere Afram Plains,1984,11,57.05213
21225,Eastern,Kwahu North,1984,11,48.34206
21226,Central,Gomoa West,1984,11,85.08639
21227,Central,Gomoa East,1984,11,40.381275
21228,Volta,Akatsi,1984,11,45.07788
21229,Volta,Hohoe,1984,11,88.29972
21230,Volta,Kadjebi,1984,11,48.4539
21231,Northern,Zabzugu-Tatale,1984,11,12.144653
21232,Upper East,Garu Tempane,1984,11,4.2563567
21233,Northern,Bunkpurugu Yonyo,1984,11,7.1912174
21234,Northern,Nanumba South,1984,11,22.331438
21235,Volta,Ho,1984,11,61.976532
21236,Volta,Adaklu Anyigbe,1984,11,42.039482
21237,Northern,Chereponi,1984,11,5.179545
21238,Northern,Saboba,1984,11,5.863988
21239,Volta,Jasikan,1984,11,68.883896
21240,Volta,Ketu North,1984,11,38.500015
21241,Volta,Ketu South,1984,11,17.059584
21242,Volta,Nkwanta North,1984,11,21.375187
21243,Volta,Nkwanta South,1984,11,23.980858
21526,Ashanti,Ahafo Ano North,1984,12,13.832931
21527,Ashanti,Ahafo Ano South,1984,12,12.582982
21528,Ashanti,Amansie West,1984,12,32.651024
21529,Ashanti,Asante Akim North,1984,12,13.419846
21530,Ashanti,Asante Akim South,1984,12,21.153734
21531,Ashanti,Ejura Sekye Dumasi,1984,12,5.5124516
21532,Brong Ahafo,Asutifi,1984,12,13.003401
21533,Brong Ahafo,Berekum,1984,12,6.8896604
21534,Brong Ahafo,Techiman,1984,12,6.88654
21535,Central,Ajumanku / Enyan / Essiam,1984,12,40.07286
21536,Central,Abura / Asebu / Kwamankese,1984,12,23.295729
21537,Central,Asikuma / Odoben / Brakwa,1984,12,37.17117
21538,Central,Cape Coast,1984,12,17.040098
21539,Central,Komenda / Edina / Eguafo / Abirem,1984,12,17.947151
21540,Central,Mfantsiman,1984,12,31.046135
21541,Central,Twifo / Heman / Lower Denkyira,1984,12,34.045113
21542,Eastern,Akwapim North,1984,12,39.615063
21543,Eastern,Akwapim South,1984,12,46.039307
21544,Eastern,Asuogyaman,1984,12,16.74112
21545,Eastern,Fanteakwa,1984,12,13.56912
21546,Eastern,Kwaebibirem,1984,12,33.141518
21547,Eastern,New Juaben Municipal,1984,12,26.281439
21548,Eastern,Suhum / Kraboa Coaltar,1984,12,44.43031
21549,Eastern,West Akim,1984,12,49.03931
21550,Eastern,Yilo Krobo,1984,12,28.095116
21551,Greater Accra,Dangbe East,1984,12,17.505135
21552,Greater Accra,Dangbe West,1984,12,21.491142
21553,Upper West,Lawra,1984,12,2.0218127
21554,Upper West,Nadowli,1984,12,2.1733131
21555,Volta,Keta Municipal,1984,12,13.071172
21556,Volta,North Tongu,1984,12,18.642859
21557,Western,Ahanta West,1984,12,20.166483
21558,Western,Aowin / Suaman,1984,12,59.53267
21559,Western,Sefwi Bibiani-Ahwiaso Bekwai,1984,12,25.649418
21560,Western,Jomoro,1984,12,72.19865
21561,Ashanti,K M A,1984,12,17.335934
21562,Upper East,Bawku West,1984,12,2.1795926
21563,Upper East,Bongo,1984,12,1.9748607
21564,Upper East,Builsa,1984,12,2.398354
21565,Northern,West Mamprusi,1984,12,2.455704
21566,Northern,Savelugu Nanton,1984,12,2.087314
21567,Northern,Tolon Kumbugu,1984,12,2.1171427
21568,Northern,Yendi,1984,12,2.3772278
21569,Northern,Tamale,1984,12,2.818226
21570,Upper West,Wa West,1984,12,2.4855502
21571,Upper West,Wa Municipal,1984,12,2.733837
21572,Upper West,Wa East,1984,12,2.6056197
21573,Upper East,Bawku Municipal,1984,12,2.2829823
21574,Northern,East Mamprusi,1984,12,1.795439
21575,Northern,Central Gonja,1984,12,2.3635972
21576,Northern,West Gonja,1984,12,2.9291933
21577,Northern,Bole,1984,12,3.506152
21578,Northern,Sawla / Tuna / Kalba,1984,12,3.4400086
21579,Northern,Nanumba North,1984,12,2.934581
21580,Brong Ahafo,Kintampo,1984,12,2.849774
21581,Brong Ahafo,Kintampo South,1984,12,3.9272437
21582,Brong Ahafo,Wenchi,1984,12,4.949939
21583,Brong Ahafo,Tain,1984,12,4.3467255
21584,Brong Ahafo,Jaman South,1984,12,5.7641115
21585,Brong Ahafo,Jaman North,1984,12,5.0358305
21586,Brong Ahafo,Asunafo North,1984,12,18.553972
21587,Brong Ahafo,Asunafo South,1984,12,26.49422
21588,Brong Ahafo,Tano North,1984,12,10.593603
21589,Brong Ahafo,Tano South,1984,12,9.280617
21590,Ashanti,Atwima Mponua,1984,12,23.00944
21591,Ashanti,Atwima Nwabiagya,1984,12,17.724474
21592,Ashanti,Amansie Central,1984,12,31.282001
21593,Ashanti,Obuasi Municipal,1984,12,31.070831
21594,Ashanti,Adansi North,1984,12,27.19567
21595,Western,Bia,1984,12,22.656599
21596,Western,Juabeso,1984,12,36.938274
21597,Western,Wassa Amenfi East,1984,12,52.9506
21598,Western,Wassa Amenfi West,1984,12,51.67606
21599,Central,Assin North,1984,12,31.594429
21600,Central,Assin South,1984,12,32.482067
21601,Volta,Krachi East,1984,12,5.6326466
21602,Volta,Krachi West,1984,12,4.4145865
21603,Greater Accra,Ga East,1984,12,42.680313
21604,Volta,South Dayi,1984,12,14.933064
21605,Volta,Norh Dayi (Kpando),1984,12,11.37796
21606,Northern,Karaga,1984,12,2.2026267
21607,Northern,Gushiegu,1984,12,2.2679784
21608,Brong Ahafo,Pru,1984,12,3.6682663
21609,Brong Ahafo,Atebubu Amantin,1984,12,3.975264
21610,Eastern,Kwahu West,1984,12,26.623148
21611,Eastern,Atiwa,1984,12,24.848
21612,Eastern,East Akim,1984,12,37.342518
21613,Upper West,Sissala West,1984,12,1.9172958
21614,Upper West,Sissala East,1984,12,2.1055984
21615,Upper East,Bolgatanga,1984,12,2.0251803
21616,Upper East,Talensi Nabdam,1984,12,1.4896852
21617,Volta,South Tongu,1984,12,16.967567
21618,Upper East,Kasena Nankana East,1984,12,2.5258672
21619,Upper East,Kasena Nankana West,1984,12,2.2196507
21620,Upper West,Jirapa,1984,12,1.9926335
21621,Upper West,Lambussie Karni,1984,12,1.8264233
21622,Northern,Kpandai,1984,12,3.5142803
21623,Northern,East Gonja,1984,12,3.2213523
21624,Brong Ahafo,Dormaa East,1984,12,8.78122
21625,Brong Ahafo,Dormaa Municipal,1984,12,11.343711
21626,Brong Ahafo,Nkoranza South,1984,12,6.9122033
21627,Brong Ahafo,Nkoranza North,1984,12,7.2438354
21628,Brong Ahafo,Sunyani Municipal,1984,12,8.85049
21629,Brong Ahafo,Sunyani West,1984,12,7.363982
21630,Central,Upper Denkyira West,1984,12,39.958363
21631,Central,Upper Denkyira East,1984,12,40.633244
21632,Central,Awutu Senya,1984,12,39.419525
21633,Central,Effutu,1984,12,30.152727
21634,Western,Prestea / Huni Valley,1984,12,47.61409
21635,Western,Tarkwa Nsuaem,1984,12,40.85099
21636,Western,Sefwi Wiawso,1984,12,36.733063
21637,Western,Sefwi Akontombra,1984,12,55.068947
21638,Greater Accra,Ga West,1984,12,47.3767
21639,Greater Accra,Weija (Ga South),1984,12,41.17206
21640,Greater Accra,Adenta,1984,12,36.384266
21641,Greater Accra,Tema,1984,12,28.138254
21642,Greater Accra,Ashaiman,1984,12,32.14926
21643,Greater Accra,Ledzokuku / Krowor,1984,12,27.479052
21644,Greater Accra,A M A,1984,12,36.083427
21645,Volta,Biakoye,1984,12,10.867337
21646,Eastern,Birim South,1984,12,33.665844
21647,Eastern,Birim Central Municipal,1984,12,37.775417
21648,Eastern,Kwahu East,1984,12,14.581111
21649,Eastern,Kwahu South,1984,12,15.830991
21650,Ashanti,Adansi South,1984,12,30.810799
21651,Ashanti,Bosome Freho,1984,12,32.28732
21652,Ashanti,Sekyere South,1984,12,8.63498
21653,Ashanti,Sekyere Central,1984,12,4.3680496
21654,Ashanti,Mampong Municipal,1984,12,5.7734613
21655,Ashanti,Offinso North,1984,12,7.711519
21656,Ashanti,Offinso Municipal,1984,12,7.791052
21657,Ashanti,Ejisu Juaben,1984,12,14.459363
21658,Ashanti,Sekyere East,1984,12,13.321632
21659,Central,Agona East,1984,12,37.4059
21660,Central,Agona West,1984,12,33.346287
21661,Eastern,Lower Manya Krobo,1984,12,26.669039
21662,Eastern,Upper Manya Krobo,1984,12,19.052486
21663,Western,Shama,1984,12,18.548616
21664,Western,Sekondi-Takoradi,1984,12,17.017876
21665,Western,Mpohor-Wassa East,1984,12,28.962273
21666,Western,Nzema East,1984,12,46.43783
21667,Western,Ellembelle,1984,12,61.953583
21668,Ashanti,Bekwai Municipal,1984,12,21.66901
21669,Ashanti,Kwabre East,1984,12,10.987827
21670,Ashanti,Afigya Kwabre,1984,12,7.904616
21671,Ashanti,Atwima Kwanwoma,1984,12,21.144684
21672,Ashanti,Bosumtwi,1984,12,18.500694
21673,Eastern,Birim North,1984,12,24.99382
21674,Eastern,Akyemansa,1984,12,36.899387
21675,Brong Ahafo,Sene,1984,12,6.9662933
21676,Ashanti,Sekyere Afram Plains,1984,12,5.736682
21677,Eastern,Kwahu North,1984,12,9.694968
21678,Central,Gomoa West,1984,12,41.71184
21679,Central,Gomoa East,1984,12,29.978394
21680,Volta,Akatsi,1984,12,20.046135
21681,Volta,Hohoe,1984,12,17.426441
21682,Volta,Kadjebi,1984,12,8.041357
21683,Northern,Zabzugu-Tatale,1984,12,3.389153
21684,Upper East,Garu Tempane,1984,12,2.0772078
21685,Northern,Bunkpurugu Yonyo,1984,12,1.8990382
21686,Northern,Nanumba South,1984,12,2.6848743
21687,Volta,Ho,1984,12,13.149302
21688,Volta,Adaklu Anyigbe,1984,12,17.233986
21689,Northern,Chereponi,1984,12,1.8970156
21690,Northern,Saboba,1984,12,2.4627006
21691,Volta,Jasikan,1984,12,10.832677
21692,Volta,Ketu North,1984,12,15.951788
21693,Volta,Ketu South,1984,12,9.281013
21694,Volta,Nkwanta North,1984,12,2.8698034
21695,Volta,Nkwanta South,1984,12,3.6478698
21978,Ashanti,Ahafo Ano North,1985,1,26.807095
21979,Ashanti,Ahafo Ano South,1985,1,26.804693
21980,Ashanti,Amansie West,1985,1,33.35813
21981,Ashanti,Asante Akim North,1985,1,20.300787
21982,Ashanti,Asante Akim South,1985,1,24.703224
21983,Ashanti,Ejura Sekye Dumasi,1985,1,11.315307
21984,Brong Ahafo,Asutifi,1985,1,22.509342
21985,Brong Ahafo,Berekum,1985,1,13.17945
21986,Brong Ahafo,Techiman,1985,1,11.486934
21987,Central,Ajumanku / Enyan / Essiam,1985,1,33.180393
21988,Central,Abura / Asebu / Kwamankese,1985,1,39.032955
21989,Central,Asikuma / Odoben / Brakwa,1985,1,43.08782
21990,Central,Cape Coast,1985,1,34.56415
21991,Central,Komenda / Edina / Eguafo / Abirem,1985,1,42.745293
21992,Central,Mfantsiman,1985,1,29.066149
21993,Central,Twifo / Heman / Lower Denkyira,1985,1,40.487614
21994,Eastern,Akwapim North,1985,1,21.546682
21995,Eastern,Akwapim South,1985,1,18.345745
21996,Eastern,Asuogyaman,1985,1,19.879986
21997,Eastern,Fanteakwa,1985,1,18.386957
21998,Eastern,Kwaebibirem,1985,1,25.615414
21999,Eastern,New Juaben Municipal,1985,1,18.804564
22000,Eastern,Suhum / Kraboa Coaltar,1985,1,19.031212
22001,Eastern,West Akim,1985,1,25.782692
22002,Eastern,Yilo Krobo,1985,1,23.53954
22003,Greater Accra,Dangbe East,1985,1,14.996862
22004,Greater Accra,Dangbe West,1985,1,16.454079
22005,Upper West,Lawra,1985,1,1.0298779
22006,Upper West,Nadowli,1985,1,1.0060546
22007,Volta,Keta Municipal,1985,1,17.328896
22008,Volta,North Tongu,1985,1,16.36677
22009,Western,Ahanta West,1985,1,36.34941
22010,Western,Aowin / Suaman,1985,1,54.442142
22011,Western,Sefwi Bibiani-Ahwiaso Bekwai,1985,1,29.233482
22012,Western,Jomoro,1985,1,41.34803
22013,Ashanti,K M A,1985,1,30.014395
22014,Upper East,Bawku West,1985,1,0.68519795
22015,Upper East,Bongo,1985,1,0.8255516
22016,Upper East,Builsa,1985,1,0.48185572
22017,Northern,West Mamprusi,1985,1,1.0021671
22018,Northern,Savelugu Nanton,1985,1,1.4557022
22019,Northern,Tolon Kumbugu,1985,1,1.3969477
22020,Northern,Yendi,1985,1,1.7404602
22021,Northern,Tamale,1985,1,1.3822176
22022,Upper West,Wa West,1985,1,1.2856424
22023,Upper West,Wa Municipal,1985,1,1.0503914
22024,Upper West,Wa East,1985,1,1.1732055
22025,Upper East,Bawku Municipal,1985,1,0.4477027
22026,Northern,East Mamprusi,1985,1,0.33121356
22027,Northern,Central Gonja,1985,1,1.7618217
22028,Northern,West Gonja,1985,1,1.1127076
22029,Northern,Bole,1985,1,2.3062904
22030,Northern,Sawla / Tuna / Kalba,1985,1,1.1068726
22031,Northern,Nanumba North,1985,1,3.37138
22032,Brong Ahafo,Kintampo,1985,1,5.71288
22033,Brong Ahafo,Kintampo South,1985,1,8.636042
22034,Brong Ahafo,Wenchi,1985,1,9.147726
22035,Brong Ahafo,Tain,1985,1,6.439882
22036,Brong Ahafo,Jaman South,1985,1,11.811127
22037,Brong Ahafo,Jaman North,1985,1,10.815535
22038,Brong Ahafo,Asunafo North,1985,1,21.640732
22039,Brong Ahafo,Asunafo South,1985,1,28.63876
22040,Brong Ahafo,Tano North,1985,1,17.523739
22041,Brong Ahafo,Tano South,1985,1,24.176395
22042,Ashanti,Atwima Mponua,1985,1,32.0279
22043,Ashanti,Atwima Nwabiagya,1985,1,30.84092
22044,Ashanti,Amansie Central,1985,1,28.192837
22045,Ashanti,Obuasi Municipal,1985,1,20.988823
22046,Ashanti,Adansi North,1985,1,27.129099
22047,Western,Bia,1985,1,25.84855
22048,Western,Juabeso,1985,1,36.764492
22049,Western,Wassa Amenfi East,1985,1,41.036957
22050,Western,Wassa Amenfi West,1985,1,53.092762
22051,Central,Assin North,1985,1,34.694588
22052,Central,Assin South,1985,1,36.20362
22053,Volta,Krachi East,1985,1,6.4221535
22054,Volta,Krachi West,1985,1,3.8310063
22055,Greater Accra,Ga East,1985,1,13.418305
22056,Volta,South Dayi,1985,1,20.257286
22057,Volta,Norh Dayi (Kpando),1985,1,15.003262
22058,Northern,Karaga,1985,1,1.0952237
22059,Northern,Gushiegu,1985,1,1.2547418
22060,Brong Ahafo,Pru,1985,1,5.7307897
22061,Brong Ahafo,Atebubu Amantin,1985,1,7.2361536
22062,Eastern,Kwahu West,1985,1,15.817696
22063,Eastern,Atiwa,1985,1,18.6488
22064,Eastern,East Akim,1985,1,23.971346
22065,Upper West,Sissala West,1985,1,0.49357712
22066,Upper West,Sissala East,1985,1,0.33873793
22067,Upper East,Bolgatanga,1985,1,0.79156125
22068,Upper East,Talensi Nabdam,1985,1,0.75539035
22069,Volta,South Tongu,1985,1,13.797585
22070,Upper East,Kasena Nankana East,1985,1,0.55733305
22071,Upper East,Kasena Nankana West,1985,1,0.25444126
22072,Upper West,Jirapa,1985,1,0.72394407
22073,Upper West,Lambussie Karni,1985,1,0.6977344
22074,Northern,Kpandai,1985,1,3.4432876
22075,Northern,East Gonja,1985,1,4.209577
22076,Brong Ahafo,Dormaa East,1985,1,18.895058
22077,Brong Ahafo,Dormaa Municipal,1985,1,23.415602
22078,Brong Ahafo,Nkoranza South,1985,1,13.261897
22079,Brong Ahafo,Nkoranza North,1985,1,9.905144
22080,Brong Ahafo,Sunyani Municipal,1985,1,12.365323
22081,Brong Ahafo,Sunyani West,1985,1,10.868594
22082,Central,Upper Denkyira West,1985,1,35.68012
22083,Central,Upper Denkyira East,1985,1,28.776196
22084,Central,Awutu Senya,1985,1,23.430424
22085,Central,Effutu,1985,1,22.982103
22086,Western,Prestea / Huni Valley,1985,1,50.916824
22087,Western,Tarkwa Nsuaem,1985,1,46.69389
22088,Western,Sefwi Wiawso,1985,1,40.01988
22089,Western,Sefwi Akontombra,1985,1,48.916027
22090,Greater Accra,Ga West,1985,1,15.913113
22091,Greater Accra,Weija (Ga South),1985,1,18.623299
22092,Greater Accra,Adenta,1985,1,10.415188
22093,Greater Accra,Tema,1985,1,10.639343
22094,Greater Accra,Ashaiman,1985,1,10.877666
22095,Greater Accra,Ledzokuku / Krowor,1985,1,10.078916
22096,Greater Accra,A M A,1985,1,12.277689
22097,Volta,Biakoye,1985,1,16.763477
22098,Eastern,Birim South,1985,1,39.791878
22099,Eastern,Birim Central Municipal,1985,1,33.684826
22100,Eastern,Kwahu East,1985,1,11.487249
22101,Eastern,Kwahu South,1985,1,12.936991
22102,Ashanti,Adansi South,1985,1,27.310352
22103,Ashanti,Bosome Freho,1985,1,33.186726
22104,Ashanti,Sekyere South,1985,1,23.954445
22105,Ashanti,Sekyere Central,1985,1,14.473099
22106,Ashanti,Mampong Municipal,1985,1,13.387959
22107,Ashanti,Offinso North,1985,1,20.709505
22108,Ashanti,Offinso Municipal,1985,1,28.605844
22109,Ashanti,Ejisu Juaben,1985,1,28.678673
22110,Ashanti,Sekyere East,1985,1,22.993376
22111,Central,Agona East,1985,1,31.466047
22112,Central,Agona West,1985,1,41.899456
22113,Eastern,Lower Manya Krobo,1985,1,19.339258
22114,Eastern,Upper Manya Krobo,1985,1,20.715279
22115,Western,Shama,1985,1,45.136475
22116,Western,Sekondi-Takoradi,1985,1,36.529163
22117,Western,Mpohor-Wassa East,1985,1,51.48839
22118,Western,Nzema East,1985,1,42.464134
22119,Western,Ellembelle,1985,1,46.026554
22120,Ashanti,Bekwai Municipal,1985,1,31.434881
22121,Ashanti,Kwabre East,1985,1,24.275877
22122,Ashanti,Afigya Kwabre,1985,1,27.356339
22123,Ashanti,Atwima Kwanwoma,1985,1,29.126997
22124,Ashanti,Bosumtwi,1985,1,29.464573
22125,Eastern,Birim North,1985,1,22.92751
22126,Eastern,Akyemansa,1985,1,28.307968
22127,Brong Ahafo,Sene,1985,1,7.97753
22128,Ashanti,Sekyere Afram Plains,1985,1,12.638764
22129,Eastern,Kwahu North,1985,1,10.33365
22130,Central,Gomoa West,1985,1,31.800222
22131,Central,Gomoa East,1985,1,25.776167
22132,Volta,Akatsi,1985,1,19.57638
22133,Volta,Hohoe,1985,1,23.369545
22134,Volta,Kadjebi,1985,1,11.507565
22135,Northern,Zabzugu-Tatale,1985,1,3.7604554
22136,Upper East,Garu Tempane,1985,1,0.8025438
22137,Northern,Bunkpurugu Yonyo,1985,1,0.65280074
22138,Northern,Nanumba South,1985,1,3.1263711
22139,Volta,Ho,1985,1,21.775902
22140,Volta,Adaklu Anyigbe,1985,1,24.594519
22141,Northern,Chereponi,1985,1,0.7868815
22142,Northern,Saboba,1985,1,2.0182145
22143,Volta,Jasikan,1985,1,18.484722
22144,Volta,Ketu North,1985,1,15.762219
22145,Volta,Ketu South,1985,1,13.553915
22146,Volta,Nkwanta North,1985,1,2.8448677
22147,Volta,Nkwanta South,1985,1,5.3043857
22430,Ashanti,Ahafo Ano North,1985,2,22.438019
22431,Ashanti,Ahafo Ano South,1985,2,24.028353
22432,Ashanti,Amansie West,1985,2,39.370705
22433,Ashanti,Asante Akim North,1985,2,27.63629
22434,Ashanti,Asante Akim South,1985,2,33.893562
22435,Ashanti,Ejura Sekye Dumasi,1985,2,11.920807
22436,Brong Ahafo,Asutifi,1985,2,20.15585
22437,Brong Ahafo,Berekum,1985,2,15.85631
22438,Brong Ahafo,Techiman,1985,2,10.074438
22439,Central,Ajumanku / Enyan / Essiam,1985,2,37.80641
22440,Central,Abura / Asebu / Kwamankese,1985,2,29.293694
22441,Central,Asikuma / Odoben / Brakwa,1985,2,44.175854
22442,Central,Cape Coast,1985,2,25.807442
22443,Central,Komenda / Edina / Eguafo / Abirem,1985,2,40.965954
22444,Central,Mfantsiman,1985,2,23.567387
22445,Central,Twifo / Heman / Lower Denkyira,1985,2,49.182213
22446,Eastern,Akwapim North,1985,2,30.811432
22447,Eastern,Akwapim South,1985,2,31.25966
22448,Eastern,Asuogyaman,1985,2,18.585863
22449,Eastern,Fanteakwa,1985,2,28.981512
